Date,Open,High,Low,Close,Volume
2011-01-03,3563.87,3563.87,3563.87,3563.87,10119727
2011-01-04,3509.61,3509.61,3509.61,3509.61,19046641
2011-01-05,3465.28,3465.28,3465.28,3465.28,29122829
2011-01-07,3435.37,3435.37,3435.37,3435.37,25510386
2011-01-10,3405.04,3405.04,3405.04,3405.04,23438640
2011-01-11,3421.77,3421.77,3421.77,3421.77,27248829
2011-01-12,3483.2,3483.2,3483.2,3483.2,27694597
2011-01-13,3491.07,3491.07,3491.07,3491.07,28488496
2011-01-14,3464.68,3464.68,3464.68,3464.68,20919736
2011-01-17,3484.68,3484.68,3484.68,3484.68,15908934
2011-01-18,3579.58,3579.58,3579.58,3579.58,22700598
2011-01-19,3531.83,3531.83,3531.83,3531.83,30820263
2011-01-20,3492.05,3492.05,3492.05,3492.05,28315329
2011-01-21,3501.1,3501.1,3501.1,3501.1,19116475
2011-01-24,3487.13,3487.13,3487.13,3487.13,18218671
2011-01-25,3453.23,3453.23,3453.23,3453.23,19098605
2011-01-26,3478.55,3478.55,3478.55,3478.55,21874000
2011-01-27,3490.38,3490.38,3490.38,3490.38,25679157
2011-01-28,3464.73,3464.73,3464.73,3464.73,26875621
2011-01-31,3464.65,3464.65,3464.65,3464.65,25352126
2011-02-01,3494.25,3494.25,3494.25,3494.25,22845027
2011-02-02,3490.39,3490.39,3490.39,3490.39,22099285
2011-02-03,3501.63,3501.63,3501.63,3501.63,21752744
2011-02-04,3512.66,3512.66,3512.66,3512.66,31149529
2011-02-07,3511.18,3511.18,3511.18,3511.18,22018270
2011-02-08,3506.65,3506.65,3506.65,3506.65,30512662
2011-02-09,3512.29,3512.29,3512.29,3512.29,25634086
2011-02-10,3466.12,3466.12,3466.12,3466.12,31319500
2011-02-11,3493.09,3493.09,3493.09,3493.09,20548659
2011-02-14,3479.38,3479.38,3479.38,3479.38,21535401
2011-02-15,3461.78,3461.78,3461.78,3461.78,15452590
2011-02-16,3442.35,3442.35,3442.35,3442.35,16886973
2011-02-17,3383.92,3383.92,3383.92,3383.92,27721854
2011-02-18,3411.71,3411.71,3411.71,3411.71,20431287
2011-02-21,3409.06,3409.06,3409.06,3409.06,16589543
2011-02-22,3398.88,3398.88,3398.88,3398.88,20014497
2011-02-23,3424.94,3424.94,3424.94,3424.94,25890485
2011-02-24,3399.43,3399.43,3399.43,3399.43,16657176
2011-02-25,3424.51,3424.51,3424.51,3424.51,18767829
2011-02-28,3481.24,3481.24,3481.24,3481.24,31247829
2011-03-01,3448.55,3448.55,3448.55,3448.55,17880629
2011-03-02,3469.37,3469.37,3469.37,3469.37,17940913
2011-03-03,3538.98,3538.98,3538.98,3538.98,28738438
2011-03-04,3564.89,3564.89,3564.89,3564.89,27082670
2011-03-07,3571.44,3571.44,3571.44,3571.44,30497213
2011-03-08,3579.76,3579.76,3579.76,3579.76,33682297
2011-03-09,3561.25,3561.25,3561.25,3561.25,21790108
2011-03-10,3535.6,3535.6,3535.6,3535.6,24167837
2011-03-11,3521.58,3521.58,3521.58,3521.58,19401373
2011-03-14,3532.41,3532.41,3532.41,3532.41,15272868
2011-03-15,3520.61,3520.61,3520.61,3520.61,32705193
2011-03-16,3476.6,3476.6,3476.6,3476.6,26637329
2011-03-17,3532.13,3532.13,3532.13,3532.13,22294380
2011-03-18,3560.5,3560.5,3560.5,3560.5,69083839
2011-03-21,3577,3577,3577,3577,16704838
2011-03-22,3545.67,3545.67,3545.67,3545.67,35739771
2011-03-23,3546.76,3546.76,3546.76,3546.76,25155412
2011-03-24,3563.44,3563.44,3563.44,3563.44,21294572
2011-03-25,3604.31,3604.31,3604.31,3604.31,30285036
2011-03-28,3622.92,3622.92,3622.92,3622.92,23287901
2011-03-29,3607.1,3607.1,3607.1,3607.1,20773513
2011-03-30,3594.75,3594.75,3594.75,3594.75,39433511
2011-03-31,3608.24,3608.24,3608.24,3608.24,22891190
2011-04-01,3685.45,3685.45,3685.45,3685.45,29354226
2011-04-04,3693.27,3693.27,3693.27,3693.27,18898641
2011-04-05,3694.63,3694.63,3694.63,3694.63,17752954
2011-04-06,3750.72,3750.72,3750.72,3750.72,26109969
2011-04-07,3751.69,3751.69,3751.69,3751.69,22535957
2011-04-08,3719.13,3719.13,3719.13,3719.13,48279419
2011-04-11,3725.34,3725.34,3725.34,3725.34,22426743
2011-04-12,3702.85,3702.85,3702.85,3702.85,21199220
2011-04-13,3745.09,3745.09,3745.09,3745.09,20386934
2011-04-14,3723.5,3723.5,3723.5,3723.5,15967072
2011-04-15,3736.78,3736.78,3736.78,3736.78,10989684
2011-04-18,3679.77,3679.77,3679.77,3679.77,18709186
2011-04-19,3699.47,3699.47,3699.47,3699.47,11218993
2011-04-20,3747.81,3747.81,3747.81,3747.81,18812122
2011-04-21,3725,3725,3725,3725,15666241
2011-04-26,3749.36,3749.36,3749.36,3749.36,19513201
2011-04-27,3736.94,3736.94,3736.94,3736.94,17190093
2011-04-28,3756.51,3756.51,3756.51,3756.51,16546928
2011-04-29,3731.55,3731.55,3731.55,3731.55,12127922
2011-05-02,3740.11,3740.11,3740.11,3740.11,8748265
2011-05-04,3687.12,3687.12,3687.12,3687.12,35568517
2011-05-05,3662.1,3662.1,3662.1,3662.1,24696113
2011-05-06,3672.7,3672.7,3672.7,3672.7,25281540
2011-05-09,3632.1,3632.1,3632.1,3632.1,22435066
2011-05-10,3675.43,3675.43,3675.43,3675.43,36749384
2011-05-11,3659.69,3659.69,3659.69,3659.69,47379167
2011-05-12,3624.85,3624.85,3624.85,3624.85,53213430
2011-05-13,3618.11,3618.11,3618.11,3618.11,19253492
2011-05-16,3648.07,3648.07,3648.07,3648.07,22995619
2011-05-17,3596.45,3596.45,3596.45,3596.45,28471466
2011-05-18,3620.24,3620.24,3620.24,3620.24,31451655
2011-05-19,3631.71,3631.71,3631.71,3631.71,36443694
2011-05-20,3641.96,3641.96,3641.96,3641.96,16139459
2011-05-23,3625.59,3625.59,3625.59,3625.59,21348440
2011-05-24,3634.99,3634.99,3634.99,3634.99,20890196
2011-05-25,3673.21,3673.21,3673.21,3673.21,20681981
2011-05-26,3676.04,3676.04,3676.04,3676.04,29431230
2011-05-27,3689.86,3689.86,3689.86,3689.86,24684229
2011-05-30,3695.8,3695.8,3695.8,3695.8,12665351
2011-05-31,3737.45,3737.45,3737.45,3737.45,38441640
2011-06-01,3734.87,3734.87,3734.87,3734.87,22779263
2011-06-02,3727.72,3727.72,3727.72,3727.72,24590491
2011-06-03,3715.24,3715.24,3715.24,3715.24,22936433
2011-06-06,3696.11,3696.11,3696.11,3696.11,14962590
2011-06-07,3730.76,3730.76,3730.76,3730.76,24071066
2011-06-08,3715.68,3715.68,3715.68,3715.68,33465299
2011-06-09,3699.61,3699.61,3699.61,3699.61,37294542
2011-06-10,3674.44,3674.44,3674.44,3674.44,15990686
2011-06-13,3682.6,3682.6,3682.6,3682.6,14467747
