PERMNO,start,ending,TICKER,EXCHCD,date,enddate,npermno,ric
87432,20000605,20121231,A,1,19991118,20121231,1,A.N
24643,19570301,20121231,AA,1,19620702,20121231,1,AA.N
14593,19821118,20121231,AAPL,3,19801212,20121231,1,AAPL.O
81540,20010830,20121231,ABC,1,20010830,20121231,1,ABC.N
27713,19741017,20081121,ABI,1,20001130,20121231,1,ABI.N
76757,20001211,20080610,ABK,1,19910711,20121231,1,ABK.N
50032,19841123,20060601,ABS,1,19700210,20121231,1,ABS.N
20482,19570301,20121231,ABT,1,19620702,20121231,1,ABT.N
71298,19931115,20020719,ABX,1,19870225,20121231,1,ABX.N
85271,20070709,20090303,ACAS,3,19970829,20121231,1,ACAS.O
79057,20020130,20080717,ACE,1,20010330,20121231,1,ACE.N
79057,20100715,20121231,ACE,1,20010330,20121231,1,ACE.N
19692,19570301,20001116,ACK,1,19620702,20121231,1,ACK.N
89071,20110706,20121231,ACN,1,20010719,20121231,1,ACN.N
80913,20040402,20100205,ACS,1,19981127,20121231,1,ACS.N
42083,19710304,20061116,ACV,1,19650611,20121231,1,ACV.N
75510,19970506,20121231,ADBE,3,19860813,20121231,1,ADBE.O
50906,19990802,20070629,ADCT,3,19850408,20121231,1,ADCT.O
60871,19991012,20121231,ADI,1,19790403,20120402,1,ADI.N
60871,19991012,20121231,ADI,3,20120402,20121231,1,ADI.O
10516,19810730,20121231,ADM,1,19620702,20121231,1,ADM.N
44644,19810226,20121231,ADP,1,20001201,20081021,1,ADP.N
44644,19810226,20121231,ADP,3,20081021,20121231,1,ADP.O
10353,19991001,20010511,ADPT,3,19860611,20121231,1,ADPT.O
85631,19891221,20121231,ADSK,3,19960501,20121231,1,ADSK.O
13567,20121001,20121231,ADT,1,20121001,20121231,1,ADT.N
24985,19910920,20121231,AEE,1,19980102,20121231,1,AEE.N
24109,19510906,20121231,AEP,1,19620702,20121231,1,AEP.N
76712,19981002,20121231,AES,1,19961016,20121231,1,AES.N
88845,20001214,20121231,AET,1,20001214,20121231,2,AET.N
46850,19760701,20001213,AET,1,19680924,20121231,2,AET.N
57904,19990528,20121231,AFL,1,19740614,20121231,1,AFL.N
83440,19980408,20001201,AFS,1,19960508,20121231,1,AFS.N
48397,19760701,20010829,AGC,1,19690526,20121231,1,AGC.N
15553,20111213,20121231,AGL,1,20090209,20111216,1,AGL.N
75646,19920210,20121231,AGN,1,19890727,20121231,1,AGN.N
28484,19840517,20121231,AHC,1,19690623,20121231,1,AHC.N
66800,19800214,20121231,AIG,1,19841010,20121231,1,AIG.N
80711,20030314,20121231,AIV,1,19940722,20121231,1,AIV.N
90038,20070410,20121231,AIZ,1,20040205,20121231,1,AIZ.N
87299,20070712,20121231,AKAM,3,19991029,20121231,1,AKAM.O
80303,20080701,20111216,AKS,1,19950405,20121231,1,AKS.N
24264,19570301,20020719,AL,1,19620702,20121231,1,AL.N
79323,19950713,20121231,ALL,1,19930603,20121231,1,ALL.N
75577,20000418,20121231,ALTR,3,19880331,20121231,1,ALTR.O
83111,20120525,20121231,ALXN,3,19960228,20121231,1,ALXN.O
13056,19891005,20040430,AM,1,19980211,20121231,1,AM.N
14702,19950316,20121231,AMAT,3,19721214,20121231,1,AMAT.O
85592,20110603,20121231,AMB,1,19971121,20110603,1,AMB.N
85522,20010102,20060517,AMCC,3,19971125,20121231,1,AMCC.O
61241,19840621,20121231,AMD,1,19791015,20121231,1,AMD.N
14008,19920102,20121231,AMGN,3,19830617,20121231,1,AMGN.O
90880,20051003,20121231,AMP,1,20051003,20121231,1,AMP.N
21020,19440607,20030313,AMR,1,19620702,20121231,1,AMR.N
86111,20071119,20121231,AMT,1,19980605,20121231,1,AMT.N
84788,20051121,20121231,AMZN,3,19970515,20121231,1,AMZN.O
76282,20030224,20121231,AN,1,19990406,20121231,1,AN.N
14323,19841123,20060929,ANDW,3,19800619,20121231,1,ANDW.O
83976,20070329,20121231,ANF,1,19960926,20121231,1,ANF.N
90547,20110602,20121001,ANR,1,20050215,20121231,1,ANR.N
61735,19960423,20121231,AOC,1,19870424,20091201,1,AOC.N
77418,19990104,20121231,AOL,1,19960916,20031016,1,AOL.N
61735,19960423,20121231,AON,1,20091201,20121231,1,AON.N
39490,19970728,20121231,APA,1,19690527,20121231,1,APA.N
70332,19970728,20121231,APC,1,19861002,20121231,1,APC.N
11970,20000601,20070214,APCC,3,19880722,20121231,1,APCC.O
28222,19850411,20121231,APD,1,19620702,20121231,1,APD.N
84769,20080930,20121231,APH,1,19970520,20121231,1,APH.N
81138,20020515,20121231,APOL,3,19941213,20121231,1,APOL.O
10604,19570301,20000417,ARC,1,19690623,20121231,1,ARC.N
70308,20090909,20121231,ARG,1,19880301,20121231,1,ARG.N
81285,20020513,20080605,ASD,1,19950203,20071128,1,ASD.N
24272,19890803,20081113,ASH,1,19620702,20121231,1,ASH.N
64451,20041220,20071005,ASN,1,19980707,20121231,1,ASN.N
62770,19990310,20061103,ASO,1,19810701,20121231,1,ASO.N
41443,19941221,20071116,AT,1,19831026,20121231,1,AT.N
15553,20111213,20121231,ATG,1,19880506,20090209,1,ATG.N
89179,20020725,20121231,ATH,1,20011030,20041201,1,ATH.N
43123,19781026,20121231,ATI,1,19991130,20121231,1,ATI.N
88587,20001002,20071025,AV,1,20001002,20121231,1,AV.N
80381,20070110,20121231,AVB,1,19980605,20121231,1,AVB.N
40416,19670518,20121231,AVP,1,19640420,20121231,1,AVP.N
44601,19871224,20121231,AVY,1,19670620,20121231,1,AVY.N
81910,20080821,20121231,AVZ,1,19970310,20070524,1,AVZ.N
76887,19990802,20081204,AW,1,19981230,20121231,1,AW.N
89001,20010709,20041026,AWE,1,20010709,20121231,1,AWE.N
59176,19760701,20121231,AXP,1,19770518,20121231,1,AXP.N
10137,20001211,20110225,AYE,1,19971001,20121231,1,AYE.N
64856,19901212,20010622,AZA,1,19920601,20121231,1,AZA.N
76605,19970102,20121231,AZO,1,19910402,20121231,1,AZO.N
19561,19570301,20121231,BA,1,19620702,20121231,1,BA.N
59408,19760701,20121231,BAC,1,19981001,20121231,1,BAC.N
27887,19720914,20121231,BAX,1,19620702,20121231,1,BAX.N
77659,19991001,20121231,BBBY,3,19920605,20121231,1,BBBY.O
71563,19971204,20121231,BBT,1,19990104,20121231,1,BBT.N
85914,19990630,20121231,BBY,1,19870720,20121231,1,BBY.N
10874,19730301,20080620,BC,1,19620702,20121231,1,BC.N
42024,19700423,20080620,BCC,1,19650602,20041101,1,BCC.N
46877,19750612,20121231,BCR,1,19680930,20121231,1,BCR.N
20220,19760115,20100312,BDK,1,19620702,20121231,1,BDK.N
39642,19720914,20121231,BDX,1,19630925,20121231,1,BDX.N
10225,19251231,20121231,BEAM,1,20111004,20121231,1,BEAM.N
37584,19980429,20121231,BEN,1,19861205,20121231,1,BEN.N
29946,19821014,20121231,BF,1,19910509,20121231,1,BF.N
10989,19570301,20001002,BFO,1,19980102,20121231,1,BFO.N
11983,20000131,20031112,BGEN,3,19880701,20121231,1,BGEN.O
17961,19680404,20010402,BGG,1,19620702,20121231,1,BGG.N
75034,19870409,20121231,BHI,1,19870424,20121231,1,BHI.N
67467,19980120,20121231,BIG,1,20060818,20121231,1,BIG.N
76841,20031113,20121231,BIIB,3,20031113,20121231,1,BIIB.O
76240,20020515,20100429,BJS,1,19900720,20121231,1,BJS.N
49656,19950331,20121231,BK,1,19691204,20121231,1,BK.N
67467,19980120,20121231,BLI,1,20010516,20060818,1,BLI.N
87267,20110404,20121231,BLK,1,19991001,20121231,1,BLK.N
57568,19841004,20121231,BLL,1,19731217,20121231,1,BLL.N
65883,19831201,20070103,BLS,1,19840216,20121231,1,BLS.N
11976,19981001,20121231,BMC,1,20010313,20091026,1,BMC.N
11976,19981001,20121231,BMC,3,20091026,20121231,1,BMC.O
18092,19900823,20070711,BMET,3,19821217,20121231,1,BMET.O
43772,19780720,20121231,BMS,1,19660913,20121231,1,BMS.N
19393,19570301,20121231,BMY,1,19620702,20121231,1,BMY.N
50227,19700305,20100212,BNI,1,19700303,20121231,1,BNI.N
26518,19860508,20071026,BOL,1,19620702,20121231,1,BOL.N
75333,19931123,20060331,BR,1,19880708,20121231,1,BR.N
85963,20000703,20121231,BRCM,3,19980417,20121231,1,BRCM.O
83443,20100216,20121231,BRK,1,19960509,20121231,1,BRK.N
11415,20060227,20081222,BRL,1,19980210,20121231,1,BRL.N
10786,19251231,20001208,BS,1,19620702,20121231,1,BS.N
68304,19980701,20080530,BSC,1,19851029,20121231,1,BSC.N
77605,19950224,20121231,BSX,1,19920519,20121231,1,BSX.N
88991,20061120,20121231,BTU,1,20010523,20121231,1,BTU.N
59184,19760701,20081118,BUD,1,19800418,20121231,1,BUD.N
83630,20001106,20010831,BVSN,3,19960621,20121231,1,BVSN.O
79545,20111219,20121231,BWA,1,19930813,20121231,1,BWA.N
85058,20060403,20121231,BXP,1,19970618,20121231,1,BXP.N
70519,19880526,20121231,C,1,19981204,20121231,1,C.N
25778,19870709,20121231,CA,1,19860911,20080428,1,CA.N
25778,19870709,20121231,CA,3,20080428,20121231,1,CA.O
56274,19830901,20121231,CAG,1,19730109,20121231,1,CAG.N
21371,19970527,20121231,CAH,1,19940907,20121231,1,CAH.N
81857,20080129,20121231,CAM,1,19990301,20121231,1,CAM.N
25487,19950501,20060731,CAR,1,20060905,20101231,1,CAR.N
25487,19950501,20060731,CAR,3,20101231,20121231,1,CAR.O
18542,19570301,20121231,CAT,1,19710401,20121231,1,CAT.N
59192,19760701,20121231,CB,1,19840229,20121231,1,CB.N
21979,19570301,20090908,CBE,1,19620702,20121231,1,CBE.N
21979,20111123,20121130,CBE,1,19620702,20121231,1,CBE.N
90199,20061110,20121231,CBG,1,20040610,20121231,1,CBG.N
86845,20060606,20080328,CBH,1,19960926,20121231,1,CBH.N
15368,19500703,20000504,CBS,1,19971201,20121231,2,CBS.N
76226,19940930,20121231,CBS,1,20060103,20121231,2,CBS.N
22032,20041220,20070906,CBSS,3,19730123,20121231,1,CBSS.O
47175,19890511,20080328,CC,1,19840621,20121231,1,CC.N
70500,19981008,20121231,CCE,1,19861121,20121231,1,CCE.N
86339,20120314,20121231,CCI,1,20010425,20121231,1,CCI.N
17726,19570301,20001208,CCK,1,19620702,20121231,1,CCK.N
75154,19981222,20121231,CCL,1,19911126,20121231,1,CCL.N
24046,19970902,20080730,CCU,1,19941104,20121231,1,CCU.N
25487,19950501,20060731,CD,1,19971218,20060905,1,CD.N
26332,20010402,20040226,CE,1,20021107,20121231,1,CE.N
24221,19570301,20120313,CEG,1,19990503,20121231,1,CEG.N
11552,20061106,20121231,CELG,3,19870728,20121231,1,CELG.O
38914,19690522,20010330,CEN,1,19920603,20121231,1,CEN.N
76625,20081117,20111014,CEPH,3,19910425,20121231,1,CEPH.O
10909,20100430,20121231,CERN,3,19861205,20121231,1,CERN.O
89003,20061110,20121231,CEY,1,20010709,20060201,1,CEY.N
90829,20080827,20121231,CF,1,20050811,20121231,2,CF.N
10725,20000619,20040831,CF,1,19991206,20121231,2,CF.N
64565,19970618,20080630,CFC,1,20021113,20121231,1,CFC.N
92988,20090901,20121231,CFN,1,20090901,20121231,1,CFN.N
